sarah,s@cb.com,home:77753647474
nico,nico@gmail.com,home:99953647474
eli,eli@theman.com,home:88853647474
mordecai,thebird@gm.com,home:44453647474
senor carlos,margaritas@mexico.com,home:55553647474
daniel,dantheman@icloud.ca,home:66653647474
horatio,horatio@theta.com,home:77753647474
new,new@new.com,home:88853647474
not new,notnew@notnew.com,home:99953647474
funnydave,123@haha.com,home:23453647474
boxman,box@box.com,skype:47847383858
absolutely nuts,nutz@deeznuts.com,skype:1800deeznuts,mobile:1293849302
